municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Itaguaçu da Bahia,2915353,326.0,475.7,550.1,8.44,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Buzio de Carvalho,"-11.011654, -42.398401"
Itaju do Colônia,2915403,187.0,274.1,509.9,8.53,Rua da Misericórdia,"-12.974331, -38.512191",Itaju do Colônia,"-15.141195, -39.724062"
Itajuípe,2915502,155.0,210.8,413.4,6.57,Rua da Misericórdia,"-12.974331, -38.512191",Rua Cerqueira Campos,"-14.674311, -39.376115"
Itamaraju,2915601,70.0,465.7,763.9,12.75,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Independência,"-17.04335, -39.538111"
Itamari,2915700,258.0,154.8,315.8,5.0,Rua da Misericórdia,"-12.974331, -38.512191",Itamari,"-13.778294, -39.680538"
Itambé,2915809,258.0,340.1,573.3,8.43,Rua da Misericórdia,"-12.974331, -38.512191",Rua Gentil Flores,"-15.243546, -40.626935"
Itanagra,2915908,230.0,94.7,126.2,2.04,Rua da Misericórdia,"-12.974331, -38.512191",Rua Padre Luiz Palmeiras,"-12.258933, -38.038543"
Itanhém,2916005,52.0,505.9,846.4,15.08,Rua da Misericórdia,"-12.974331, -38.512191",Praça Castro Alves,"-17.171642, -40.330038"
Itaparica,2916104,26.0,21.4,31.6,1.18,Rua da Misericórdia,"-12.974331, -38.512191",Rua Luís da Grana,"-12.881549, -38.685049"
Itapé,2916203,155.0,235.4,447.5,7.21,Rua da Misericórdia,"-12.974331, -38.512191",Itapé,"-14.897103, -39.424615"
Itapebi,2916302,290.0,350.6,635.6,10.72,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Othon Cachoeira Costa,"-15.96817, -39.534445"
Itapetinga,2916401,29.0,314.3,544.4,8.62,Rua da Misericórdia,"-12.974331, -38.512191",Rua Coronel Belizário Ferraz,"-15.245065, -40.248678"
Itapicuru,2916500,417.0,187.7,225.2,3.58,Rua da Misericórdia,"-12.974331, -38.512191",Beco da Igreja,"-11.310703, -38.220295"
Itapitanga,2916609,296.0,197.1,401.3,6.49,Rua da Misericórdia,"-12.974331, -38.512191",Rua da Conquista,"-14.4215, -39.566515"
Itaquara,2916708,360.0,163.1,327.2,4.79,Rua da Misericórdia,"-12.974331, -38.512191",Itaquara,"-13.446491, -39.938318"
Itarantim,2916807,120.0,341.6,600.7,9.58,Rua da Misericórdia,"-12.974331, -38.512191",Rua Potiraguá,"-15.6554, -40.059823"
Itatim,2916856,241.0,131.9,214.9,2.89,Rua da Misericórdia,"-12.974331, -38.512191",Itatim,"-12.707332, -39.697219"
Itiruçu,2916906,151.0,187.9,337.7,4.84,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Josias Duarte Santos,"-13.533825, -40.150193"
Itiúba,2917003,385.0,292.5,381.9,5.3,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Getúlio Vargas,"-10.694156, -39.852675"
Itororó,2917102,177.0,291.5,511.1,8.21,Rua da Misericórdia,"-12.974331, -38.512191",Rua João Alves de Oliveira,"-15.118186, -40.068137"
Ituaçu,2917201,301.0,315.4,509.7,7.5,Rua da Misericórdia,"-12.974331, -38.512191",Praça Gilberto Gil,"-13.813792, -41.297639"
Ituberá,2917300,131.0,109.1,282.2,4.41,Rua da Misericórdia,"-12.974331, -38.512191",Rua Melo Leite,"-13.736174, -39.148311"
Iuiu,2917334,195.0,567.3,774.3,11.78,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Ferreira Filho,"-14.411638, -43.55089"
Jaborandi,2917359,110.0,648.6,929.4,12.98,Rua da Misericórdia,"-12.974331, -38.512191",Rua Sete de Setembro,"-13.620521, -44.469471"
Jacaraci,2917409,181.0,471.5,677.7,10.7,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Mozart David,"-14.845759, -42.43305"
Jacobina,2917508,42.0,240.5,277.9,3.96,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Luis Eduardo Magalhães,"-11.378957, -40.006711"
Jaguaquara,2917607,251.0,169.3,337.4,4.83,Rua da Misericórdia,"-12.974331, -38.512191",Jaguaquara,"-13.527044, -39.969409"
Jaguarari,2917706,37.0,353.3,407.0,5.61,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Clementino Cunha,"-10.257614, -40.194437"
